,overall_rating,potential,international_reputation(1-5),value_euro
0,94,94,5,110500000.0
1,88,89,3,69500000.0
2,88,91,4,73000000.0
3,88,88,3,62000000.0
4,88,91,3,60000000.0
5,88,90,3,59500000.0
6,88,95,3,81000000.0
7,89,89,4,64500000.0
8,89,89,5,38000000.0
9,89,89,4,60000000.0
10,89,89,4,51500000.0
11,89,90,4,53500000.0
12,89,92,3,58000000.0
13,89,90,4,78000000.0
14,89,90,3,78500000.0
15,89,94,3,89000000.0
16,86,93,1,53500000.0
17,87,87,3,20500000.0
18,87,87,4,48500000.0
19,87,87,4,46500000.0
20,87,87,3,34000000.0
21,87,87,3,45000000.0
22,87,87,4,36500000.0
23,87,88,3,44000000.0
24,87,87,3,38000000.0
25,87,87,3,51500000.0
26,87,87,3,52000000.0
27,87,87,3,30500000.0
28,87,90,3,62500000.0
29,87,88,4,59000000.0
30,87,89,3,50500000.0
31,87,90,3,64500000.0
32,84,90,1,31000000.0
33,84,86,3,38000000.0
34,84,88,3,34000000.0
35,84,90,3,42500000.0
36,84,87,3,40000000.0
37,84,90,2,36500000.0
38,84,88,2,40500000.0
39,84,86,3,31000000.0
40,84,88,2,34000000.0
41,84,88,3,40500000.0
42,84,88,2,34000000.0
43,84,89,3,41500000.0
44,84,92,3,46000000.0
45,85,85,4,18500000.0
46,85,85,5,14000000.0
47,83,84,2,30000000.0
48,83,83,2,26000000.0
49,83,87,2,34000000.0
50,83,89,3,35000000.0
51,83,86,3,27000000.0
52,83,84,3,22500000.0
53,83,86,3,33000000.0
54,83,83,2,27000000.0
55,83,83,2,28000000.0
56,83,88,3,34000000.0
57,83,87,2,33000000.0
58,83,90,2,31000000.0
59,83,89,2,29500000.0
60,83,87,2,34000000.0
61,83,88,2,34500000.0
62,83,89,3,35500000.0
63,82,87,2,25000000.0
64,82,85,2,28000000.0
65,82,88,1,26000000.0
66,82,87,1,21500000.0
67,82,87,3,29500000.0
68,82,89,2,31500000.0
69,82,87,2,25000000.0
70,82,86,1,29000000.0
71,82,88,1,30000000.0
72,82,90,1,32000000.0
73,82,89,1,31000000.0
74,82,82,1,14000000.0
75,82,82,1,6500000.0
76,82,82,1,16500000.0
77,82,90,1,32500000.0
78,82,87,1,29000000.0
79,82,82,2,9000000.0
80,82,82,2,21500000.0
81,82,82,2,18000000.0
82,82,82,3,21000000.0
83,82,82,3,22000000.0
84,82,82,2,20000000.0
85,82,82,3,22500000.0
86,82,82,2,22500000.0
87,82,83,2,18000000.0
88,82,82,3,16500000.0
89,82,82,2,18500000.0
90,82,82,3,23000000.0
91,82,82,4,23500000.0
92,82,82,2,21000000.0
93,82,82,2,21000000.0
94,82,82,3,22000000.0
95,81,84,2,22000000.0
96,81,83,2,18000000.0
97,81,82,2,21000000.0
98,81,81,2,15000000.0
99,81,82,2,17000000.0
100,81,86,2,20000000.0
101,81,84,2,22500000.0
102,81,84,2,18500000.0
103,81,83,2,22000000.0
104,81,83,2,18500000.0
105,81,83,1,22000000.0
106,81,85,2,19500000.0
107,81,84,3,22500000.0
108,81,84,3,18500000.0
109,81,85,2,23000000.0
110,81,88,2,25000000.0
111,80,88,1,22000000.0
112,80,86,1,20500000.0
113,80,85,2,14500000.0
114,80,83,1,15500000.0
115,80,87,2,21000000.0
116,80,87,1,21000000.0
117,80,80,1,4500000.0
118,80,80,1,10500000.0
119,80,86,1,21000000.0
120,80,88,1,18500000.0
121,80,87,1,21000000.0
122,80,90,1,23500000.0
123,80,89,1,22500000.0
124,80,85,1,20500000.0
125,81,81,2,6000000.0
126,81,81,3,5500000.0
127,80,82,2,15000000.0
128,80,83,2,15500000.0
129,80,81,2,14000000.0
130,80,85,2,19500000.0
